Parameter,Granularity,EM,EE,GL,NE,NW,SE,SW,WM,YH,UK
timestamp,GLOBAL,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018,01/01/2018
averageSaleRate,GLOBAL,17,17,17,17,17,17,17,17,17,17
alpha_desiredExpenditure,GLOBAL,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
beta_desiredExpenditure,GLOBAL,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
alpha_expected_HP_Appreciation,GLOBAL,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
tau_annual_CostofRenting,GLOBAL,0.091666667,0.091666667,0.0916667,0.0916667,0.0916667,0.0916667,0.0916667,0.0916667,0.0916667,0.091666667
beta_logisticParam,GLOBAL,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029
beta_logisticParam_buy_BTL,GLOBAL,50,50,50,50,50,50,50,50,50,50
alpha_prob_sell,GLOBAL,4,4,4,4,4,4,4,4,4,4
beta_prob_sell,GLOBAL,5,5,5,5,5,5,5,5,5,5
alpha_sell_price,GLOBAL,0.048063918,0.048063918,0.048063918,0.048063918,0.048063918,0.048063918,0.048063918,0.048063918,0.048063918,0.048063918
beta_sell_price,GLOBAL,0.007318157,0.007318157,0.007318157,0.007318157,0.007318157,0.007318157,0.007318157,0.007318157,0.007318157,0.007318157
zeta_sell_price,GLOBAL,0.046754984,0.046754984,0.046754984,0.046754984,0.046754984,0.046754984,0.046754984,0.046754984,0.046754984,0.046754984
alpha_monthly_rental,GLOBAL,0,0,0,0,0,0,0,0,0,0
beta_monthly_rental,GLOBAL,0,0,0,0,0,0,0,0,0,0
zeta_monthly_rental,GLOBAL,0.032258065,0.032258065,0.0322581,0.0322581,0.0322581,0.0322581,0.0322581,0.0322581,0.0322581,0.032258065
beta_logisticParam_sell_BTL,GLOBAL,50,50,50,50,50,50,50,50,50,50
delta_trendFollowers,GLOBAL,50,50,50,50,50,50,50,50,50,50
delta_sell_BTL,GLOBAL,90,90,90,90,90,90,90,90,90,90
LTV_limit,GLOBAL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
DTI_limit,GLOBAL,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
bankRate,GLOBAL,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
inflationRate,GLOBAL,0.000583333,0.000583333,0.0005833,0.0005833,0.0005833,0.0005833,0.0005833,0.0005833,0.0005833,0.000583333
sell_price_shock,GLOBAL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CPI,GLOBAL,100,100,100,100,100,100,100,100,100,100
mortgage_interest_rate_spread,GLOBAL,2.07%,2.07%,2.07%,2.07%,2.07%,2.07%,2.07%,2.07%,2.07%,2.07%
